,0
0,57
1,85
2,89
3,119
4,144
5,147
6,182
7,188
8,192
9,200
10,203
11,211
12,212
13,213
14,218
15,225
16,233
17,234
18,236
19,242
20,245
21,251
22,253
23,254
24,268
25,269
26,275
27,276
28,277
29,282
30,287
31,297
32,300
33,301
34,303
35,314
36,319
37,322
38,323
39,324
40,326
41,329
42,330
43,334
44,338
45,339
46,341
47,344
48,345
49,347
50,348
51,354
52,356
53,357
54,358
55,360
56,361
57,364
58,365
59,367
60,368
61,378
62,379
63,380
64,381
65,383
66,389
67,391
68,392
69,393
70,394
71,397
72,400
73,401
74,403
75,406
76,408
77,409
78,410
79,412
80,413
81,414
82,418
83,421
84,424
85,425
86,429
87,430
88,432
89,434
90,436
91,437
92,440
93,442
94,443
95,444
96,447
97,448
98,449
99,450
100,451
101,452
102,453
103,454
104,455
105,456
106,457
107,458
108,459
109,461
110,462
111,463
112,466
113,467
114,468
115,469
116,470
117,471
118,472
119,473
120,474
121,475
122,476
123,477
124,478
125,479
126,480
127,481
128,482
129,483
130,484
131,485
132,486
133,487
134,488
135,489
136,490
137,491
138,492
139,493
