,0
0,56
1,60
2,99
3,114
4,124
5,146
6,150
7,163
8,182
9,186
10,209
11,240
12,297
13,308
14,317
15,336
16,338
17,339
18,342
19,344
20,346
21,348
22,358
23,366
24,378
25,391
26,395
27,421
28,424
29,433
30,444
31,448
32,451
33,453
34,456
35,466
36,478
37,480
38,483
39,486
40,490
41,492
42,498
43,501
44,519
45,520
46,522
47,527
48,529
49,530
50,536
51,543
52,545
53,561
54,577
55,588
56,590
57,593
58,595
59,605
60,607
61,616
62,627
63,631
64,632
65,645
66,646
67,653
68,655
69,664
70,666
71,669
72,671
73,672
74,674
75,675
76,678
77,679
78,680
79,682
80,683
81,687
82,689
83,700
84,712
85,715
86,716
87,718
88,722
89,731
90,734
91,737
92,740
93,741
94,743
95,747
96,751
97,755
98,757
99,759
100,761
101,764
102,766
103,782
104,784
105,790
106,791
107,801
108,802
109,804
110,805
111,812
112,817
113,826
114,830
115,834
116,838
117,845
118,850
119,865
120,867
121,872
122,874
123,875
124,876
125,880
126,882
127,883
128,884
129,885
130,887
131,888
132,891
133,893
134,895
135,897
136,899
137,902
138,903
139,908
140,911
141,918
142,919
143,921
144,924
145,929
146,930
147,932
148,934
149,940
150,945
151,946
152,948
153,952
154,955
155,956
156,957
157,959
158,960
159,963
160,965
161,968
162,969
163,970
164,971
165,972
166,973
167,974
168,977
169,979
170,981
171,982
172,983
173,984
174,985
175,987
176,990
177,991
178,994
179,998
180,1000
181,1003
182,1006
183,1007
184,1009
185,1010
186,1011
187,1012
188,1013
189,1014
190,1019
191,1020
192,1021
193,1022
194,1028
195,1030
196,1031
197,1033
198,1037
199,1038
200,1041
201,1042
202,1043
203,1047
204,1048
205,1049
206,1050
207,1051
208,1053
209,1054
210,1057
211,1058
212,1060
213,1063
214,1067
215,1071
216,1072
217,1073
218,1074
219,1076
220,1077
221,1080
222,1081
223,1082
224,1083
225,1085
226,1086
227,1087
228,1088
229,1089
230,1090
231,1091
232,1092
233,1096
234,1097
235,1098
236,1099
237,1100
238,1102
239,1103
240,1105
241,1106
242,1110
243,1111
244,1112
245,1114
246,1115
247,1116
248,1120
249,1123
250,1124
251,1125
252,1126
253,1127
254,1128
255,1129
256,1130
257,1131
258,1135
259,1137
260,1138
261,1139
262,1140
263,1141
264,1142
265,1146
266,1147
267,1148
268,1150
269,1151
270,1152
271,1155
272,1158
273,1159
274,1161
275,1162
276,1166
277,1167
278,1168
279,1169
280,1170
281,1171
282,1173
283,1174
284,1175
285,1176
286,1177
287,1178
288,1180
289,1181
290,1182
291,1183
292,1184
293,1185
294,1187
295,1188
296,1189
297,1190
298,1191
299,1192
300,1195
301,1196
302,1198
303,1199
304,1200
305,1202
306,1203
307,1204
308,1205
309,1207
310,1208
311,1210
312,1211
313,1212
314,1213
315,1214
316,1215
317,1217
318,1218
319,1220
320,1221
321,1222
322,1223
323,1224
324,1225
325,1226
326,1227
327,1228
328,1229
329,1230
330,1231
331,1232
332,1233
333,1235
334,1237
335,1238
336,1239
337,1240
338,1241
339,1242
340,1244
341,1245
342,1246
343,1247
344,1248
345,1249
346,1250
347,1251
348,1252
349,1253
350,1254
351,1255
352,1256
353,1257
354,1258
355,1259
356,1260
357,1261
358,1262
359,1263
360,1264
361,1265
362,1266
363,1267
364,1268
365,1269
366,1270
367,1271
368,1272
369,1273
370,1274
371,1276
372,1277
373,1278
374,1279
375,1280
376,1281
377,1282
378,1283
379,1284
380,1285
381,1286
382,1287
