,alg_name,iteration,cont_size,max0,elapsed
0,algoQD,0,1,0.4511917114257812,5.90681461407803
1,algoQD,0,2,0.6458795759412977,4.99215098307468
2,algoQD,0,2,0.8330132590399848,4.952376196044497
3,algoQD,0,3,0.8803721957736546,5.572845778078772
4,algoQD,0,4,0.8803721957736546,5.387746638967656
5,algoQD,0,5,0.8803721957736546,5.265513168065809
6,algoQD,0,6,0.9972460428873698,5.297100024065003
7,algoQD,0,7,0.9972460428873698,5.241806194069795
8,algoQD,0,7,0.9972460428873698,5.088752146111801
9,algoQD,0,7,0.9972460428873698,5.097318134037778
10,algoQD,0,8,0.9972460428873698,5.067856723093428
11,algoQD,0,9,0.9972460428873698,5.177572202053852
12,algoQD,0,10,0.9972460428873698,5.838603249983862
13,algoQD,0,11,0.9972460428873698,4.865773767000064
14,algoQD,0,11,0.9972460428873698,5.1797843700041994
15,algoQD,0,11,0.9972460428873698,5.103101506945677
16,algoQD,0,12,0.9972460428873698,5.06260809104424
17,algoQD,0,12,0.9972460428873698,5.4096289679873735
18,algoQD,0,12,0.9972460428873698,5.4017953319707885
19,algoQD,0,12,0.9972460428873698,4.829135773004964
20,algoQD,0,13,0.9972460428873698,5.406762492959388
21,algoQD,0,13,0.9972460428873698,5.722665951005183
22,algoQD,0,13,0.9972460428873698,5.04721596010495
23,algoQD,0,13,0.9972460428873698,5.468566787079908
24,algoQD,0,14,0.9972460428873698,5.410143558983691
25,algoQD,0,14,0.9972460428873698,5.178988085943274
26,algoQD,0,15,0.9972460428873698,5.765306462068111
27,algoQD,0,16,0.9972460428873698,6.1694126289803535
28,algoQD,0,16,0.9972460428873698,5.288937008008361
29,algoQD,0,16,0.9972460428873698,5.4396695820614696
30,algoQD,0,16,0.9972460428873698,5.550673845922574
31,algoQD,0,16,0.9972460428873698,5.134046979947016
32,algoQD,0,16,0.9983114030626085,5.380660927970894
33,algoQD,0,17,0.9983114030626085,5.721027937950566
34,algoQD,0,18,0.9983114030626085,5.461420539999381
35,algoQD,0,18,0.9983114030626085,5.0582686649868265
36,algoQD,0,19,0.9983114030626085,4.9923012589570135
37,algoQD,0,20,0.9983114030626085,5.646831649006344
38,algoQD,0,20,0.9983114030626085,4.661942261038348
39,algoQD,0,20,0.9983114030626085,5.302225352963433
40,algoQD,0,20,0.9983114030626085,5.3361343840369955
41,algoQD,0,20,0.9983114030626085,5.3695243139518425
42,algoQD,0,21,0.9983114030626085,5.025102055980824
43,algoQD,0,21,0.9983114030626085,5.214710131054744
44,algoQD,0,21,0.9983114030626085,4.805869712028652
45,algoQD,0,21,0.9983114030626085,5.5616202800301835
46,algoQD,0,21,0.9983114030626085,5.791162754991092
47,algoQD,0,22,0.9983114030626085,5.406904611969367
48,algoQD,0,22,0.9983114030626085,5.817633026046678
49,algoQD,0,22,0.9983114030626085,4.926105941995047
50,algoQD,0,23,0.9983114030626085,5.131411083042622
51,algoQD,0,24,0.9983114030626085,5.602090121014044
52,algoQD,0,24,0.9983114030626085,5.192768233013339
53,algoQD,0,24,0.9983114030626085,4.690365710994229
54,algoQD,0,24,0.9983114030626085,4.823549613007344
55,algoQD,0,24,0.9983114030626085,5.067047293996438
56,algoQD,0,24,0.9983114030626085,5.427777873934247
57,algoQD,0,24,0.9983114030626085,4.756970350979827
58,algoQD,0,25,0.9983114030626085,5.25232109404169
59,algoQD,0,25,0.9983114030626085,4.732727404916659
60,algoQD,0,26,0.9983114030626085,5.300883260089904
61,algoQD,0,26,0.9983114030626085,5.588883306947537
62,algoQD,0,26,0.9983114030626085,5.414295871043578
63,algoQD,0,27,0.9983114030626085,5.618044313043356
64,algoQD,0,27,0.9983114030626085,5.644790405989625
65,algoQD,0,27,0.9983114030626085,5.365073489956558
66,algoQD,0,27,0.9983114030626085,5.093231937033124
67,algoQD,0,28,0.9983114030626085,5.323852338944562
68,algoQD,0,28,0.9983114030626085,5.6227281879400834
69,algoQD,0,28,0.9983114030626085,4.891327969962731
70,algoQD,0,28,0.9983114030626085,5.001040362985805
71,algoQD,0,28,0.9983114030626085,4.477624885970727
72,algoQD,0,28,0.9983114030626085,4.966422573896125
73,algoQD,0,28,0.9983114030626085,5.275465285056271
74,algoQD,0,28,0.9983114030626085,5.014730388997123
75,algoQD,0,29,0.9983114030626085,5.580675346078351
76,algoQD,0,29,0.9983114030626085,4.944229218992405
77,algoQD,0,29,0.9983114030626085,5.37980535090901
78,algoQD,0,29,0.9983114030626085,5.507589295972139
79,algoQD,0,29,0.9983114030626085,5.186017744010314
80,algoQD,0,30,0.9983114030626085,5.553522406029515
81,algoQD,0,30,0.9983114030626085,4.2368863159790635
82,algoQD,0,30,0.9984851466284858,5.396560045075603
83,algoQD,0,30,0.9984851466284858,5.442953633959405
84,algoQD,0,30,0.9984851466284858,5.002711479086429
85,algoQD,0,30,0.9984851466284858,4.743297789013013
86,algoQD,0,30,0.9984851466284858,5.507188448915258
87,algoQD,0,30,0.9984851466284858,4.879754331894219
88,algoQD,0,31,0.9984851466284858,4.904454280040227
89,algoQD,0,31,0.9984851466284858,5.790516703971662
90,algoQD,0,31,0.9984851466284858,5.283756452961825
91,algoQD,0,32,0.9984851466284858,5.581056615919806
92,algoQD,0,32,0.9984851466284858,5.052598176058382
93,algoQD,0,32,0.9984851466284858,5.402828696067445
94,algoQD,0,32,0.9984851466284858,5.149728648015298
95,algoQD,0,33,0.9984851466284858,5.701845088973641
96,algoQD,0,34,0.9984851466284858,5.174926417064853
97,algoQD,0,34,0.9984851466284858,5.196733972989023
98,algoQD,0,34,0.9984851466284858,5.265768299927004
99,algoQD,0,35,0.9984851466284858,5.496440210030414
100,algoQD,1,36,0.9984851466284858,5.589187732082792
101,algoQD,1,37,0.9984851466284858,5.637292523984797
102,algoQD,1,37,0.9984851466284858,5.416893856949173
103,algoQD,1,37,0.9984851466284858,5.3538027729373425
104,algoQD,1,37,0.9984851466284858,5.062496109982021
105,algoQD,1,38,0.9984851466284858,5.2958955789217725
106,algoQD,1,38,0.9984851466284858,5.393602679017931
107,algoQD,1,38,0.9984851466284858,5.488003346021287
108,algoQD,1,39,0.9984851466284858,5.61192158900667
109,algoQD,1,39,0.9984851466284858,5.464651001966558
110,algoQD,1,40,0.9984851466284858,5.63797488308046
111,algoQD,1,40,0.9984851466284858,4.784507296979427
112,algoQD,1,41,0.9984851466284858,5.705568931996822
113,algoQD,1,42,0.9984851466284858,5.695586420013569
114,algoQD,1,42,0.9984851466284858,5.526852000039071
115,algoQD,1,42,0.9984851466284858,5.308336328947917
116,algoQD,1,42,0.9984851466284858,4.728894308093004
117,algoQD,1,42,0.9984851466284858,5.371285228990018
118,algoQD,1,42,0.9984851466284858,5.034180786926299
119,algoQD,1,43,0.9984851466284858,5.4172751469304785
120,algoQD,1,43,0.9984851466284858,5.205529845901765
121,algoQD,1,43,0.9984851466284858,4.897653563995846
122,algoQD,1,43,0.9984851466284858,5.01112847100012
123,algoQD,1,43,0.9984851466284858,5.662511791917495
124,algoQD,1,43,0.9984851466284858,4.983990724082105
125,algoQD,1,44,0.9984851466284858,5.813582694041543
126,algoQD,1,45,0.9984851466284858,5.631880911998451
127,algoQD,1,45,0.9984851466284858,5.735277632949874
128,algoQD,1,45,0.9984851466284858,5.625966732040979
129,algoQD,1,45,0.9984851466284858,4.7986093539511785
130,algoQD,1,45,0.9984851466284858,5.336014844942838
131,algoQD,1,45,0.9984851466284858,5.566427944926545
132,algoQD,1,45,0.9984851466284858,5.86372993409168
133,algoQD,1,45,0.9984851466284858,5.221889961976558
134,algoQD,1,45,0.9984851466284858,5.285530927940272
135,algoQD,1,45,0.9984851466284858,5.043217884027399
136,algoQD,1,46,0.9984851466284858,5.382250367081724
137,algoQD,1,46,0.9984851466284858,4.848264024010859
138,algoQD,1,46,0.9984851466284858,4.896899239043705
139,algoQD,1,46,0.9984851466284858,5.605587414000183
140,algoQD,1,46,0.9984851466284858,5.265262347995304
141,algoQD,1,47,0.9984851466284858,5.580923542031087
142,algoQD,1,48,0.9984851466284858,5.734846318024211
143,algoQD,1,48,0.9984851466284858,5.477831746917218
144,algoQD,1,48,0.9984851466284858,5.27105538896285
145,algoQD,1,48,0.9984851466284858,5.206161487032659
146,algoQD,1,49,0.9984851466284858,5.034057304030284
147,algoQD,1,50,0.9984851466284858,5.996966872015037
148,algoQD,1,50,0.9984851466284858,5.119465169962496
149,algoQD,1,50,0.9984851466284858,5.425985358073376
150,algoQD,1,50,0.9984851466284858,5.154119068058208
151,algoQD,1,50,0.9984851466284858,5.313648634008132
152,algoQD,1,50,0.9984851466284858,5.089616875979118
153,algoQD,1,51,0.9984851466284858,5.330946553032845
154,algoQD,1,51,0.9984851466284858,5.001637412933633
155,algoQD,1,51,0.9984851466284858,5.2843962060287595
156,algoQD,1,51,0.9984851466284858,5.182651376002468
157,algoQD,1,51,0.9984851466284858,5.422230425989255
158,algoQD,1,52,0.9984851466284858,5.839671156019904
159,algoQD,1,52,0.9984851466284858,5.242680608993396
160,algoQD,1,52,0.9984851466284858,5.0911567530129105
161,algoQD,1,52,0.9984851466284858,5.3168503909837455
162,algoQD,1,52,0.9984851466284858,5.115879846969619
