,alg_name,iteration,cont_size,max0,elapsed
0,algoQD,0,1,0.03454344007703991,10.587872873060405
1,algoQD,0,2,0.8350065019395616,10.378554224967957
2,algoQD,0,3,0.9559358676274617,10.385821626521647
3,algoQD,0,4,0.9559358676274617,10.35902419872582
4,algoQD,0,5,0.9819332546657986,10.361695957370102
5,algoQD,0,6,0.9819332546657986,10.38625910319388
6,algoQD,0,7,0.9819332546657986,10.377431112341583
7,algoQD,0,8,0.9819332546657986,10.388084733858705
8,algoQD,0,9,0.9819332546657986,10.379377168603241
9,algoQD,0,9,0.9821030020713806,10.359114601276815
10,algoQD,0,10,0.9821030020713806,10.379301516339183
11,algoQD,0,10,0.9821030020713806,10.368940678425133
12,algoQD,0,11,0.9821030020713806,10.368007866665721
13,algoQD,0,11,0.9821030020713806,10.392178530804813
14,algoQD,0,11,0.9821030020713806,10.376032640226185
15,algoQD,0,12,0.9821030020713806,10.366395567543805
16,algoQD,0,12,0.9821030020713806,10.362314898520708
17,algoQD,0,13,0.9821030020713806,10.362109950743616
18,algoQD,0,14,0.9821030020713806,10.365831995382905
19,algoQD,0,14,0.9821030020713806,10.361724992282689
20,algoQD,0,15,0.9821030020713806,10.38449137378484
21,algoQD,0,16,0.9821030020713806,10.373725640587509
22,algoQD,0,16,0.9821030020713806,10.37733537890017
23,algoQD,0,17,0.9821030020713806,10.379196197725832
24,algoQD,0,17,0.9821030020713806,10.362680920399725
25,algoQD,0,17,0.9869879404703776,10.38768238388002
26,algoQD,0,17,0.9988926351898246,10.379443984478712
27,algoQD,0,18,0.9988926351898246,10.359847566112876
28,algoQD,0,19,0.9988926351898246,10.37121156975627
29,algoQD,0,19,0.9988926351898246,10.381301986984909
30,algoQD,0,19,0.9988926351898246,10.371447457931936
31,algoQD,0,19,0.9988926351898246,10.373866588808596
32,algoQD,0,20,0.9988926351898246,10.388954921625555
33,algoQD,0,20,0.9988926351898246,10.359077963978052
34,algoQD,0,21,0.9988926351898246,10.379733395762742
35,algoQD,0,21,0.9988926351898246,10.36523187160492
36,algoQD,0,22,0.9988926351898246,10.383529465645552
37,algoQD,0,22,0.9988926351898246,10.379784871824086
38,algoQD,0,22,0.9988926351898246,10.382499591447413
39,algoQD,0,22,0.9988926351898246,10.372052781283855
40,algoQD,0,23,0.9988926351898246,10.373063801787794
41,algoQD,0,23,0.9988926351898246,10.369512401521206
42,algoQD,0,23,0.9988926351898246,10.377118842676282
43,algoQD,0,23,0.9988926351898246,10.374362353235483
44,algoQD,0,24,0.9988926351898246,10.371989140287042
45,algoQD,0,24,0.9988926351898246,10.37692414689809
46,algoQD,0,25,0.9988926351898246,10.384925787337124
47,algoQD,0,25,0.9988926351898246,10.362780560739338
48,algoQD,0,25,0.9988926351898246,10.375507610850036
49,algoQD,0,25,0.9988926351898246,10.38593293633312
50,algoQD,0,25,0.9988926351898246,10.38055619969964
51,algoQD,0,26,0.9988926351898246,10.367221994325519
52,algoQD,0,26,0.9988926351898246,10.369510407559574
53,algoQD,0,27,0.9988926351898246,10.368115982972085
54,algoQD,0,27,0.9988926351898246,10.37216448225081
55,algoQD,0,27,0.9988926351898246,10.38177025411278
56,algoQD,0,28,0.9988926351898246,10.370229042135179
57,algoQD,0,28,0.9988926351898246,10.366871340200305
58,algoQD,0,28,0.9988926351898246,10.363807431422174
59,algoQD,0,28,0.9988926351898246,10.36471772287041
60,algoQD,0,29,0.9988926351898246,10.368078069761395
61,algoQD,0,30,0.9988926351898246,10.377258849330246
62,algoQD,0,31,0.9988926351898246,10.37744471244514
63,algoQD,0,31,0.9988926351898246,10.366362356580794
64,algoQD,0,32,0.9988926351898246,10.365137154236436
65,algoQD,0,32,0.9988926351898246,10.37579280976206
66,algoQD,0,33,0.9988926351898246,10.37421545945108
67,algoQD,0,33,0.9988926351898246,10.383647851645947
68,algoQD,0,33,0.9988926351898246,10.366006827913225
69,algoQD,0,34,0.9988926351898246,10.370757145807147
70,algoQD,0,34,0.9988926351898246,10.364830542355776
71,algoQD,0,35,0.9988926351898246,10.402308544144034
72,algoQD,0,36,0.9988926351898246,10.376670407131314
73,algoQD,0,36,0.9988926351898246,10.36175518296659
74,algoQD,0,36,0.9988926351898246,10.369364451617002
75,algoQD,0,36,0.9988926351898246,10.356542883440852
76,algoQD,0,36,0.9988926351898246,10.372164673171937
77,algoQD,0,36,0.9988926351898246,10.358718591742218
78,algoQD,0,37,0.9988926351898246,10.38435479812324
79,algoQD,0,37,0.9988926351898246,10.34185701329261
80,algoQD,0,37,0.9988926351898246,10.490732232108712
81,algoQD,0,37,0.9988926351898246,10.356654644943774
82,algoQD,0,38,0.9988926351898246,10.355859481729567
83,algoQD,0,38,0.9988926351898246,10.363025357946754
84,algoQD,0,39,0.9988926351898246,10.381960544735193
85,algoQD,0,39,0.9988926351898246,10.367549252696335
86,algoQD,0,39,0.9988926351898246,10.374508772045374
87,algoQD,0,39,0.9988926351898246,10.378702909685671
88,algoQD,0,39,0.9988926351898246,10.362992690876126
89,algoQD,0,39,0.9988926351898246,10.358431091532111
90,algoQD,0,39,0.9988926351898246,10.365262808278203
91,algoQD,0,39,0.9988926351898246,10.352746850810945
92,algoQD,0,40,0.9988926351898246,10.388021145947278
93,algoQD,0,40,0.9988926351898246,10.360839112661779
94,algoQD,0,40,0.9988926351898246,10.364080416969955
95,algoQD,0,40,0.9988926351898246,10.364984095096588
96,algoQD,0,41,0.9988926351898246,10.362356490455568
97,algoQD,0,42,0.9988926351898246,10.364886607974768
98,algoQD,0,42,0.9988926351898246,10.39731849450618
99,algoQD,0,43,0.9988926351898246,10.36455699801445
100,algoQD,1,43,0.9988926351898246,10.38085176795721
101,algoQD,1,43,0.9988926351898246,10.369334776885808
102,algoQD,1,43,0.9988926351898246,10.369899732992053
103,algoQD,1,43,0.9988926351898246,10.363283842802048
104,algoQD,1,43,0.9988926351898246,10.3598812520504
105,algoQD,1,43,0.9988926351898246,10.374038563109934
106,algoQD,1,43,0.9988926351898246,10.373663295060396
107,algoQD,1,44,0.9988926351898246,10.369365934282541
108,algoQD,1,44,0.9988926351898246,10.355156584642828
109,algoQD,1,44,0.9988926351898246,10.35638517420739
110,algoQD,1,44,0.9988926351898246,10.355226243846118
111,algoQD,1,44,0.9988926351898246,10.37261865194887
112,algoQD,1,44,0.9988926351898246,10.370248401537538
113,algoQD,1,44,0.9988926351898246,10.362840092740953
114,algoQD,1,45,0.9988926351898246,10.380628446117043
115,algoQD,1,45,0.9988926351898246,10.36598337162286
116,algoQD,1,46,0.9988926351898246,10.35708145890385
117,algoQD,1,47,0.9988926351898246,10.370177749544382
118,algoQD,1,47,0.9988926351898246,10.373272948898375
119,algoQD,1,48,0.9988926351898246,10.366781230084598
120,algoQD,1,49,0.9988926351898246,10.356518377549946
121,algoQD,1,49,0.9988926351898246,10.358023950830102
122,algoQD,1,49,0.9988926351898246,10.368523672223091
123,algoQD,1,49,0.9988926351898246,10.363678037188947
124,algoQD,1,50,0.9988926351898246,10.370838908478618
125,algoQD,1,50,0.9988926351898246,10.367107567377388
126,algoQD,1,51,0.9988926351898246,10.365067020058632
127,algoQD,1,52,0.9988926351898246,10.370022855699062
128,algoQD,1,52,0.9988926351898246,10.377096151933074
129,algoQD,1,52,0.9988926351898246,10.352754664607346
130,algoQD,1,53,0.9988926351898246,10.36571223847568
131,algoQD,1,54,0.9988926351898246,10.360535458661616
132,algoQD,1,54,0.9988926351898246,10.367636576294899
133,algoQD,1,54,0.9988926351898246,10.363427633419633
134,algoQD,1,54,0.9988926351898246,10.367769275791943
135,algoQD,1,54,0.9988926351898246,10.353815799579024
136,algoQD,1,54,0.9988926351898246,10.366086428053677
137,algoQD,1,55,0.9988926351898246,10.37025691755116
138,algoQD,1,55,0.9988926351898246,10.366932556033134
139,algoQD,1,55,0.9988926351898246,10.35566905234009
140,algoQD,1,55,0.9988926351898246,10.372196563519537
141,algoQD,1,55,0.9988926351898246,10.363369833678007
142,algoQD,1,55,0.9988926351898246,10.372429102659225
143,algoQD,1,56,0.9988926351898246,10.36506872344762
144,algoQD,1,56,0.9988926351898246,10.379653784446418
145,algoQD,1,56,0.9988926351898246,10.361837329342961
146,algoQD,1,57,0.9988926351898246,10.380851716734469
147,algoQD,1,57,0.9988926351898246,10.358970178291202
148,algoQD,1,57,0.9988926351898246,10.374868552200496
149,algoQD,1,58,0.9988926351898246,10.36230877880007
150,algoQD,1,58,0.9988926351898246,10.377004768699408
151,algoQD,1,58,0.9988926351898246,10.367499749176204
152,algoQD,1,58,0.9988926351898246,10.362207005731761
153,algoQD,1,59,0.9988926351898246,10.36942816246301
154,algoQD,1,59,0.9988926351898246,10.351736689917743
155,algoQD,1,60,0.9988926351898246,10.365754280239344
156,algoQD,1,61,0.9988926351898246,10.374499244615436
157,algoQD,1,61,0.9988926351898246,10.346836991608143
158,algoQD,1,61,0.9988926351898246,10.365414717234671
159,algoQD,1,62,0.9988926351898246,10.357890489511192
160,algoQD,1,63,0.9988926351898246,10.363729191944003
161,algoQD,1,63,0.9988926351898246,10.36006996780634
162,algoQD,1,64,0.9988926351898246,10.36263188906014
163,algoQD,1,64,0.9988926351898246,10.348292742855847
164,algoQD,1,65,0.9988926351898246,10.366663227789104
165,algoQD,1,66,0.9988926351898246,10.354215826839209
166,algoQD,1,66,0.9988926351898246,10.36674149427563
167,algoQD,1,66,0.9988926351898246,10.358159546740353
168,algoQD,1,66,0.9988926351898246,10.35504913982004
169,algoQD,1,66,0.9988926351898246,10.35510889440775
170,algoQD,1,67,0.9988926351898246,10.378295217640698
171,algoQD,1,67,0.9988926351898246,10.358224822208285
172,algoQD,1,67,0.9988926351898246,10.354532282799482
173,algoQD,1,68,0.9988926351898246,10.361882593482733
174,algoQD,1,68,0.9988926351898246,10.358526340685785
175,algoQD,1,68,0.9988926351898246,10.3535875082016
176,algoQD,1,68,0.9988926351898246,10.363295211456716
177,algoQD,1,68,0.9988926351898246,10.361844911240041
178,algoQD,1,68,0.9988926351898246,10.37489236611873
179,algoQD,1,68,0.9988926351898246,10.378616906702518
180,algoQD,1,69,0.9988926351898246,10.366951742209494
181,algoQD,1,70,0.9988926351898246,10.360834192484617
182,algoQD,1,70,0.9988926351898246,10.358318979851902
183,algoQD,1,71,0.9988926351898246,10.371812798082829
184,algoQD,1,71,0.9988926351898246,10.37509623169899
185,algoQD,1,72,0.9988926351898246,10.353618117049336
186,algoQD,1,72,0.9988926351898246,10.369157721288502
187,algoQD,1,73,0.9988926351898246,10.364290784113109
188,algoQD,1,73,0.9988926351898246,10.554781276732683
